Code,Name
23000,ACEH
24000,ACEH
22000,"SUMATERA UTARA"
25000,"SUMATERA BARAT"
27000,"SUMATERA BARAT"
28000,RIAU
36000,JAMBI
37000,JAMBI
32000,"SUMATERA SELATAN"
38000,BENGKULU
39000,BENGKULU
34000,LAMPUNG
35000,LAMPUNG
30000,"KEPULAUAN BANGKA BELITUNG"
33000,"KEPULAUAN BANGKA BELITUNG"
20000,"KEPULAUAN RIAU"
29000,"KEPULAUAN RIAU"
14000,"DKI JAKARTA"
16000,"JAWA BARAT"
17000,"JAWA BARAT"
46000,"JAWA BARAT"
54000,"JAWA TENGAH"
56000,"JAWA TENGAH"
59000,"JAWA TENGAH"
50000,"DI YOGYAKARTA"
55000,"DI YOGYAKARTA"
60000,"JAWA TIMUR"
69000,"JAWA TIMUR"
10000,BANTEN
40000,BANTEN
15000,BANTEN
42000,BANTEN
82000,BALI
83000,"NUSA TENGGARA BARAT"
84000,"NUSA TENGGARA BARAT"
80000,"NUSA TENGGARA TIMUR"
85000,"NUSA TENGGARA TIMUR"
87000,"NUSA TENGGARA TIMUR"
78000,"KALIMANTAN BARAT"
79000,"KALIMANTAN BARAT"
73000,"KALIMANTAN TENGAH"
74000,"KALIMANTAN TENGAH"
72000,"KALIMANTAN SELATAN"
75000,"KALIMANTAN TIMUR"
70000,"KALIMANTAN UTARA"
77000,"KALIMANTAN UTARA"
95000,"SULAWESI UTARA"
94000,"SULAWESI TENGAH"
92000,"SULAWESI SELATAN"
93000,"SULAWESI TENGGARA"
96000,GORONTALO
91000,"SULAWESI BARAT"
97000,"MALUKU UTARA"
90000,PAPUA
23800,SIMEULUE
23300,"ACEH BESAR"
23900,"ACEH BESAR"
24200,BIREUEN
23700,"ACEH SELATAN"
24600,"GAYO LUES"
23600,"ACEH JAYA"
24500,"BENER MERIAH"
24100,"PIDIE JAYA"
23100,"KOTA BANDA ACEH"
23200,"KOTA BANDA ACEH"
23500,"KOTA SABANG"
24400,"KOTA LANGSA"
24300,"KOTA LHOKSEUMAWE"
24800,"KOTA SUBULUSSALAM"
24700,SUBULUSSALAM
22900,"MANDAILING NATAL"
22600,"TAPANULI TENGAH"
22100,KARO
20300,"DELI SERDANG"
20800,LANGKAT
22400,"TAPANULI UTARA"
22200,"PAKPAK BHARAT"
22300,SAMOSIR
20900,"SERDANG BEDAGAI"
21600,"BATU BARA"
21200,"BATU BARA"
21500,"LABUHANBATU SELATAN"
21700,"LABUHANBATU UTARA"
21400,"LABUHANBATU UTARA"
22500,"KOTA SIBOLGA"
21300,"KOTA TANJUNG BALAI"
21100,"KOTA PEMATANG SIANTAR"
20600,"KOTA TEBING TINGGI"
20100,"KOTA MEDAN"
20200,"KOTA MEDAN"
20400,"KOTA MEDAN"
20500,MEDAN
20700,"KOTA BINJAI"
22800,"KOTA GUNUNGSITOLI"
25700,"KEPULAUAN MENTAWAI"
25300,"KEPULAUAN MENTAWAI"
25600,"PESISIR SELATAN"
27200,"TANAH DATAR"
26400,AGAM
27700,"SOLOK SELATAN"
27500,DHARMASRAYA
27600,DHARMASRAYA
26300,"PASAMAN BARAT"
26500,"PASAMAN BARAT"
25100,"KOTA PADANG"
25200,"KOTA PADANG"
27300,"KOTA SOLOK"
27400,"KOTA SAWAHLUNTO"
27100,"PADANG PANJANG"
26100,"KOTA BUKITTINGGI"
26200,"KOTA PAYAKUMBUH"
25500,"KOTA PARIAMAN"
29500,"KUANTAN SINGINGI"
29300,"INDRAGIRI HULU"
29200,"INDRAGIRI HILIR"
28300,PELALAWAN
28600,SIAK
28400,KAMPAR
28500,"ROKAN HULU"
28900,"ROKAN HILIR"
28700,"KEPULAUAN MERANTI"
28100,"KOTA PEKANBARU"
28200,"KOTA PEKANBARU"
28800,"KOTA DUMAI"
37400,SAROLANGUN
37300,SAROLANGUN
36600,BATANGHARI
36300,"MUARO JAMBI"
36700,"TANJUNG JABUNG TIMUR"
36500,"TANJUNG JABUNG BARAT"
37500,TEBO
37200,BUNGO
36100,"KOTA JAMBI"
36200,"KOTA JAMBI"
37100,"KOTA SUNGAI PENUH"
31700,"MUARA ENIM"
30700,"MUSI BANYUASIN"
30900,BANYUASIN
32200,"OGAN KOMERING ULU SELATAN"
32300,"OGAN KOMERING ULU TIMUR"
32100,"OGAN KOMERING ULU TIMUR"
30800,"OGAN ILIR"
30600,"OGAN ILIR"
31800,"EMPAT LAWANG"
31400,"EMPAT LAWANG"
31200,"PENUKAL ABAB LEMATANG ILIR"
31300,"PENUKAL ABAB LEMATANG ILIR"
30100,"KOTA PALEMBANG"
30200,"KOTA PALEMBANG"
31100,"KOTA PRABUMULIH"
31500,"KOTA PAGAR ALAM"
31600,"KOTA LUBUK LINGGAU"
38500,"BENGKULU SELATAN"
38600,"BENGKULU UTARA"
38900,KAUR
38800,SELUMA
38700,"MUKO MUKO"
39200,LEBONG
39100,KEPAHIANG
39300,KEPAHIANG
38300,"BENGKULU TENGAH"
38100,"KOTA BENGKULU"
38200,"KOTA BENGKULU"
34300,"LAMPUNG TIMUR"
34200,"LAMPUNG TENGAH"
35500,"LAMPUNG TENGAH"
34500,"TULANG BAWANG"
35400,PESAWARAN
35700,PRINGSEWU
35300,PRINGSEWU
35600,PRINGSEWU
34900,MESUJI
34600,MESUJI
34400,"TULANG BAWANG BARAT"
34700,"TULANG BAWANG BARAT"
35900,"PESISIR BARAT"
34800,"PESISIR BARAT"
35100,"KOTA BANDAR LAMPUNG"
35200,"KOTA BANDAR LAMPUNG"
34100,"KOTA METRO"
33200,BANGKA
33400,BELITUNG
33300,"BANGKA BARAT"
33600,"BANGKA TENGAH"
33700,"BANGKA SELATAN"
33500,"BELITUNG TIMUR"
33100,"KOTA PANGKAL PINANG"
29600,KARIMUN
29800,LINGGA
29900,"KEPULAUAN ANAMBAS"
29700,"KEPULAUAN ANAMBAS"
29400,"KOTA BATAM"
29100,"KOTA TANJUNG PINANG"
14500,"ADMINISTRASI KEPULAUAN SERIBU"
12100,"KOTA ADMINISTRASI JAKARTA SELATAN"
12200,"KOTA ADMINISTRASI JAKARTA SELATAN"
12300,"KOTA ADMINISTRASI JAKARTA SELATAN"
12400,"KOTA ADMINISTRASI JAKARTA SELATAN"
12500,"KOTA ADMINISTRASI JAKARTA SELATAN"
