Code,Name,Value
en,"SUMATERA UTARA","NORTH SUMATERA"
en,"SUMATERA BARAT","WEST SUMATERA"
en,"SUMATERA SELATAN","SOUTH SUMATERA"
en,LAMPUNG,LAMPUNG
en,"KEPULAUAN BANGKA BELITUNG","BANGKA BELITUNG ISLANDS"
en,"KEPULAUAN RIAU","RIAU ISLANDS"
en,"DKI JAKARTA","DKI JAKARTA"
en,"JAWA BARAT","WEST JAVA"
en,"DI YOGYAKARTA","DI YOGYAKARTA"
en,"JAWA TIMUR","EAST JAVA"
en,"NUSA TENGGARA BARAT","WEST NUSA TENGGARA"
en,"NUSA TENGGARA TIMUR","EAST NUSA TENGGARA"
en,"KALIMANTAN BARAT","WEST BORNEO"
en,"KALIMANTAN TENGAH","CENTRAL BORNEO"
en,"KALIMANTAN SELATAN","SOUTH BORNEO"
en,"KALIMANTAN TIMUR","EAST BORNEO"
en,"KALIMANTAN UTARA","NORTH BORNEO"
en,"SULAWESI UTARA","NORTH SULAWESI"
en,"SULAWESI TENGAH","CENTRAL SULAWESI"
en,"SULAWESI SELATAN","SOUTH SULAWESI"
en,"SULAWESI TENGGARA","SOUTHEAST SULAWESI"
en,"SULAWESI BARAT","WEST SULAWESI"
en,MALUKU,MALUKU
en,"MALUKU UTARA","NORTH MALUKU"
en,"PAPUA BARAT","WEST PAPUA"
en,SIMEULUE,SIMEULUE
en,"ACEH SINGKIL","ACEH SINGKIL"
en,"ACEH SELATAN","SOUTH ACEH"
en,"ACEH TENGGARA","SOUTHEAST ACEH"
en,"ACEH TIMUR","EAST ACEH"
en,"ACEH TENGAH","CENTRAL ACEH"
en,"ACEH BARAT","WEST ACEH"
en,"ACEH BESAR","ACEH BESAR"
en,BIREUEN,BIREUEN
en,"ACEH UTARA","NORTH ACEH"
en,"ACEH BARAT DAYA","SOUTHWEST ACEH"
en,"GAYO LUES","GAYO LUES"
en,"ACEH TAMIANG","ACEH TAMIANG"
en,"NAGAN RAYA","NAGAN RAYA"
en,"ACEH JAYA","ACEH JAYA"
en,"PIDIE JAYA","PIDIE JAYA"
en,"BANDA ACEH","BANDA ACEH"
en,LANGSA,LANGSA
en,NIAS,NIAS
en,"MANDAILING NATAL","MANDAILING NATAL"
en,"TAPANULI SELATAN","SOUTH TAPANULI"
en,"TAPANULI TENGAH","CENTRAL TAPANULI"
en,"TAPANULI UTARA","NORTH TAPANULI"
en,"TOBA SAMOSIR","TOBA SAMOSIR"
en,"LABUHAN BATU","LABUHAN BATU"
en,"DELI SERDANG","DELI SERDANG"
en,"NIAS SELATAN","SOUTH NIAS"
en,"HUMBANG HASUNDUTAN","HUMBANG HASUNDUTAN"
en,"PAKPAK BHARAT","PAKPAK BHARAT"
en,SAMOSIR,SAMOSIR
en,"SERDANG BEDAGAI","SERDANG BEDAGAI"
en,"BATU BARA","BATU BARA"
en,"PADANG LAWAS UTARA","NORTH PADANG LAWAS"
en,"PADANG LAWAS","PADANG LAWAS"
en,"LABUHAN BATU SELATAN","SOUTH LABUHAN BATU"
en,"LABUHAN BATU UTARA","NORTH LABUHAN BATU"
en,"NIAS UTARA","NORTH NIAS"
en,"NIAS BARAT","WEST NIAS"
en,SIBOLGA,SIBOLGA
en,"PEMATANG SIANTAR","PEMATANG SIANTAR"
en,MEDAN,MEDAN
en,PADANGSIDIMPUAN,PADANGSIDIMPUAN
en,GUNUNGSITOLI,GUNUNGSITOLI
en,"KEPULAUAN MENTAWAI","MENTAWAI ISLANDS"
en,"PADANG PARIAMAN","PADANG PARIAMAN"
en,AGAM,AGAM
en,"SOLOK SELATAN","SOUTH SOLOK"
en,DHARMASRAYA,DHARMASRAYA
en,"PASAMAN BARAT","WEST PASAMAN"
en,"SAWAH LUNTO","SAWAH LUNTO"
en,"KUANTAN SINGINGI","KUANTAN SINGINGI"
en,"INDRAGIRI HULU","INDRAGIRI HULU"
en,"INDRAGIRI HILIR","INDRAGIRI HILIR"
en,"ROKAN HULU","ROKAN HULU"
en,"ROKAN HILIR","ROKAN HILIR"
en,"KEPULAUAN MERANTI","MERANTI ISLANDS"
en,PEKANBARU,PEKANBARU
en,DUMAI,DUMAI
en,KERINCI,KERINCI
en,"TANJUNG JABUNG TIMUR","EAST TANJUNG JABUNG"
en,"TANJUNG JABUNG BARAT","WEST TANJUNG JABUNG"
en,"OGAN KOMERING ULU","OGAN KOMERING ULU"
en,"OGAN KOMERING ILIR","OGAN KOMERING ILIR"
en,"MUSI RAWAS","MUSI RAWAS"
en,"MUSI BANYUASIN","MUSI BANYUASIN"
en,"OGAN KOMERING ULU SELATAN","SOUTH OGAN KOMERING ULU"
en,"OGAN KOMERING ULU TIMUR","EAST OGAN KOMERING ULU"
en,"OGAN ILIR","OGAN ILIR"
en,"EMPAT LAWANG","EMPAT LAWANG"
en,"PENUKAL ABAB LEMATANG ILIR","PENUKAL ABAB LEMATANG ILIR"
en,"MUSI RAWAS UTARA","NORTH MUSI RAWAS"
en,LUBUKLINGGAU,LUBUKLINGGAU
en,"BENGKULU SELATAN","SOUTH BENGKULU"
en,"REJANG LEBONG","REJANG LEBONG"
en,"BENGKULU UTARA","NORTH BENGKULU"
en,KAUR,KAUR
en,MUKOMUKO,MUKOMUKO
en,LEBONG,LEBONG
en,"LAMPUNG BARAT","WEST LAMPUNG"
en,TANGGAMUS,TANGGAMUS
en,"LAMPUNG SELATAN","SOUTH LAMPUNG"
en,"LAMPUNG TIMUR","EAST LAMPUNG"
en,"LAMPUNG TENGAH","CENTRAL LAMPUNG"
en,"LAMPUNG UTARA","NORTH LAMPUNG"
en,"WAY KANAN","WAY KANAN"
en,TULANGBAWANG,TULANGBAWANG
en,"TULANG BAWANG BARAT","WEST TULANG BAWANG"
en,"PESISIR BARAT","WEST PESISIR"
en,"BANDAR LAMPUNG","BANDAR LAMPUNG"
en,BELITUNG,BELITUNG
en,"BANGKA BARAT","WEST BANGKA"
en,"BANGKA TENGAH","CENTRAL BANGKA"
en,"BANGKA SELATAN","SOUTH BANGKA"
en,"BELITUNG TIMUR","EAST BELITUNG"
en,"PANGKAL PINANG","PANGKAL PINANG"
en,NATUNA,NATUNA
en,"KEPULAUAN ANAMBAS","ANAMBAS ISLANDS"
en,BATAM,BATAM
en,"KEPULAUAN SERIBU","SERIBU ISLANDS"
en,"JAKARTA SELATAN","SOUTH JAKARTA"
en,"JAKARTA TIMUR","EAST JAKARTA"
en,"JAKARTA PUSAT","JAKARTA PUSAT"
en,"JAKARTA BARAT","WEST JAKARTA"
en,"JAKARTA UTARA","NORTH JAKARTA"
en,SUMEDANG,SUMEDANG
en,"BANDUNG BARAT","WEST BANDUNG"
en,CIREBON,CIREBON
en,BEKASI,BEKASI
en,TASIKMALAYA,TASIKMALAYA
en,BLORA,BLORA
en,"KULON PROGO","KULON PROGO"
en,"GUNUNG KIDUL","GUNUNG KIDUL"
en,YOGYAKARTA,YOGYAKARTA
en,SUMENEP,SUMENEP
en,PROBOLINGGO,PROBOLINGGO
en,"TANGERANG SELATAN","SOUTH TANGERANG"
en,DENPASAR,DENPASAR
en,"LOMBOK TENGAH","CENTRAL LOMBOK"
en,"SUMBAWA BARAT","WEST SUMBAWA"
en,"LOMBOK UTARA","NORTH LOMBOK"
en,BIMA,BIMA
en,"SUMBA BARAT","WEST SUMBA"
en,"SUMBA TIMUR","EAST SUMBA"
en,"TIMOR TENGAH SELATAN","SOUTH TIMOR TENGAH"
en,"TIMOR TENGAH UTARA","NORTH TIMOR TENGAH"
en,ALOR,ALOR
en,LEMBATA,LEMBATA
en,"FLORES TIMUR","EAST FLORES"
en,NGADA,NGADA
en,"ROTE NDAO","ROTE NDAO"
