Code,Parent,Name,Latitude,Longitude,Postal
1101010001,1101010,LATIUNG,,,"23895,23898"
1101010002,1101010,"LABUHAN BAJAU",,,"23895,23898"
1101010003,1101010,"SUAK LAMATAN",,,"23895,23898"
1101010004,1101010,"ANA AO",,,"23895,23898"
1101010005,1101010,LATALING,,,"23895,23898"
1101010006,1101010,"PULAU BENGKALAK",,,"23895,23898"
1101010007,1101010,BADEGONG,,,"23895,23898"
1101010008,1101010,"KEBUN BARU",,,"23895,23898"
1101010009,1101010,"ULUL MAYANG",,,"23895,23898"
1101010010,1101010,"PASIR TINGGI",,,"23895,23898"
1101010011,1101010,"LABUHAN JAYA",,,"23895,23898"
1101010012,1101010,"LABUHAN BAKTI",,,"23895,23898"
1101010013,1101010,"BATU RALANG",,,"23895,23898"
1101010014,1101010,"ALUS ALUS",,,"23895,23898"
1101010015,1101010,SEUNEUBOK,,,23898
1101010016,1101010,"BLANG SEBEL",,,"23895,23898"
1101010017,1101010,"TRANS BARU",,,23898
1101010018,1101010,"TRANS MERANTI",,,23898
1101010019,1101010,"TRANS JERNGE",,,23898
1101020022,1101020,"AIR PINANG",,,23891
1101020023,1101020,"KUALA MAKMUR",,,23891
1101020024,1101020,GANTING,,,23891
1101020025,1101020,LINGGI,,,23891
1101020026,1101020,LUGU,,,23891
1101020027,1101020,SINABANG,,,23891
1101020028,1101020,"SUKA MAJU",,,23891
1101020029,1101020,"SUKA KARYA",,,23891
1101020030,1101020,"SUKA JAYA",,,23891
1101020031,1101020,"AIR DINGIN",,,23891
1101020032,1101020,"KOTA BATU",,,23891
1101020035,1101020,"SUAK BULUH",,,23891
1101020036,1101020,"UJUNG TINGGI",,,23891
1101020037,1101020,"PULAU SIUMAT",,,23891
1101020038,1101020,SEFOYAN,,,23891
1101020039,1101020,"AMAITENG MULIA",,,23891
1101020040,1101020,"AMERIA BAHAGIA",,,23891
1101021001,1101021,SITAL,,,23897
1101021002,1101021,LEUBANG,,,"23896,23897"
1101021003,1101021,"LEUBANG HULU",,,"23896,23897"
1101021004,1101021,"AWE SEUBAL",,,"23896,23897"
1101021005,1101021,LANTIK,,,"23896,23897"
1101021006,1101021,"AWE KECIL",,,"23896,23897"
1101021007,1101021,SALUR,,,"23896,23897"
1101021008,1101021,"SALUR LATUN",,,"23896,23897"
1101021009,1101021,"SALUR LASENGALU",,,"23896,23897"
1101021010,1101021,NANCALA,,,"23896,23897"
1101021011,1101021,MAUDIL,,,"23896,23897"
1101021012,1101021,INOR,,,"23896,23897"
1101021013,1101021,NAIBOS,,,"23896,23897"
